,Latitude,Longitude,Elevation
0,-15.0,-100.0,-3877.0
1,-15.0,-95.0,-3861.0
2,-15.0,-90.0,-4162.0
3,-15.0,-85.0,-4818.0
4,-15.0,-80.0,-491.0
5,-15.0,-75.0,2126.0
6,-15.0,-70.0,177.0
7,-15.0,-65.0,308.0
8,-15.0,-60.0,329.0
9,-15.0,-55.0,355.0
10,-15.0,-50.0,326.0
11,-15.0,-45.0,501.0
12,-15.0,-40.0,-2448.0
13,-15.0,-35.0,-4613.0
14,-15.0,-30.0,-5569.0
15,-15.0,-25.0,-5217.0
16,-15.0,-20.0,-4033.0
17,-15.0,-15.0,-3340.0
18,-15.0,-10.0,-4013.0
19,-15.0,-5.0,-4454.0
20,-10.0,-100.0,-3797.0
21,-10.0,-95.0,-4098.0
22,-10.0,-90.0,-4000.0
23,-10.0,-85.0,-4298.0
24,-10.0,-80.0,3569.0
25,-10.0,-75.0,187.0
26,-10.0,-70.0,140.0
27,-10.0,-65.0,83.0
28,-10.0,-60.0,206.0
29,-10.0,-55.0,258.0
30,-10.0,-50.0,177.0
31,-10.0,-45.0,161.0
32,-10.0,-40.0,682.0
33,-10.0,-35.0,-4856.0
34,-10.0,-30.0,-5676.0
35,-10.0,-25.0,-5283.0
36,-10.0,-20.0,-4315.0
37,-10.0,-15.0,-2825.0
38,-10.0,-10.0,-4580.0
39,-10.0,-5.0,-4524.0
40,-5.0,-100.0,-3468.0
41,-5.0,-95.0,-3554.0
42,-5.0,-90.0,-3181.0
43,-5.0,-85.0,-2828.0
44,-5.0,-80.0,289.0
45,-5.0,-75.0,115.0
46,-5.0,-70.0,60.0
47,-5.0,-65.0,53.0
48,-5.0,-60.0,7.0
49,-5.0,-55.0,86.0
50,-5.0,-50.0,63.0
51,-5.0,-45.0,-16.0
52,-5.0,-40.0,-3272.0
53,-5.0,-35.0,-4301.0
54,-5.0,-30.0,-5088.0
55,-5.0,-25.0,-5575.0
56,-5.0,-20.0,-4694.0
57,-5.0,-15.0,-2361.0
58,-5.0,-10.0,-4673.0
59,-5.0,-5.0,-4749.0
60,0.0,-100.0,-2952.0
61,0.0,-95.0,-2496.0
62,0.0,-90.0,-2344.0
63,0.0,-85.0,-2156.0
64,0.0,-80.0,387.0
65,0.0,-75.0,220.0
66,0.0,-70.0,116.0
67,0.0,-65.0,268.0
68,0.0,-60.0,225.0
69,0.0,-55.0,147.0
70,0.0,-50.0,-763.0
71,0.0,-45.0,-4384.0
72,0.0,-40.0,-4167.0
73,0.0,-35.0,-3695.0
74,0.0,-30.0,-3399.0
75,0.0,-25.0,-4557.0
76,0.0,-20.0,-4901.0
77,0.0,-15.0,-4700.0
78,0.0,-10.0,-4910.0
79,0.0,-5.0,-5089.0
80,5.0,-100.0,-3604.0
81,5.0,-95.0,-3479.0
82,5.0,-90.0,-3305.0
83,5.0,-85.0,-2199.0
84,5.0,-80.0,434.0
85,5.0,-75.0,2281.0
86,5.0,-70.0,46.0
87,5.0,-65.0,247.0
88,5.0,-60.0,-75.0
89,5.0,-55.0,-1502.0
90,5.0,-50.0,-4308.0
91,5.0,-45.0,-4822.0
92,5.0,-40.0,-4455.0
93,5.0,-35.0,-4319.0
94,5.0,-30.0,-4262.0
95,5.0,-25.0,-4304.0
96,5.0,-20.0,-4831.0
97,5.0,-15.0,5.0
98,5.0,-10.0,470.0
99,5.0,-5.0,271.0
100,10.0,-100.0,-4261.0
101,10.0,-95.0,-3912.0
102,10.0,-90.0,-54.0
103,10.0,-85.0,-92.0
104,10.0,-80.0,-3850.0
105,10.0,-75.0,-769.0
106,10.0,-70.0,-4634.0
107,10.0,-65.0,-2976.0
108,10.0,-60.0,-4409.0
109,10.0,-55.0,-5024.0
110,10.0,-50.0,-5095.0
111,10.0,-45.0,-4973.0
112,10.0,-40.0,-4977.0
113,10.0,-35.0,-5762.0
114,10.0,-30.0,-5423.0
115,10.0,-25.0,-4952.0
116,10.0,-20.0,-51.0
117,10.0,-15.0,98.0
118,10.0,-10.0,355.0
119,10.0,-5.0,268.0
120,15.0,-100.0,2383.0
121,15.0,-95.0,131.0
122,15.0,-90.0,-636.0
123,15.0,-85.0,-2562.0
124,15.0,-80.0,-1064.0
125,15.0,-75.0,-3924.0
126,15.0,-70.0,-3431.0
127,15.0,-65.0,-540.0
128,15.0,-60.0,-5371.0
129,15.0,-55.0,-5330.0
130,15.0,-50.0,-3541.0
131,15.0,-45.0,-4734.0
132,15.0,-40.0,-5678.0
133,15.0,-35.0,-4900.0
134,15.0,-30.0,-4476.0
135,15.0,-25.0,-3368.0
136,15.0,-20.0,-2415.0
137,15.0,-15.0,76.0
138,15.0,-10.0,149.0
139,15.0,-5.0,282.0
140,20.0,-100.0,-80.0
141,20.0,-95.0,-3573.0
142,20.0,-90.0,-43.0
143,20.0,-85.0,-1.0
144,20.0,-80.0,-10.0
145,20.0,-75.0,-3105.0
146,20.0,-70.0,-5523.0
147,20.0,-65.0,-5867.0
148,20.0,-60.0,-5864.0
149,20.0,-55.0,-5588.0
150,20.0,-50.0,-3919.0
151,20.0,-45.0,-4419.0
152,20.0,-40.0,-5571.0
153,20.0,-35.0,-5249.0
154,20.0,-30.0,-5442.0
155,20.0,-25.0,-4719.0
156,20.0,-20.0,-1263.0
157,20.0,-15.0,309.0
158,20.0,-10.0,326.0
159,20.0,-5.0,289.0
160,25.0,-100.0,6.0
161,25.0,-95.0,-885.0
162,25.0,-90.0,-2890.0
163,25.0,-85.0,6.0
164,25.0,-80.0,-1415.0
165,25.0,-75.0,-4995.0
166,25.0,-70.0,-5108.0
167,25.0,-65.0,-5849.0
168,25.0,-60.0,-5668.0
169,25.0,-55.0,-5456.0
170,25.0,-50.0,-4031.0
171,25.0,-45.0,-4362.0
172,25.0,-40.0,-5005.0
173,25.0,-35.0,-5323.0
174,25.0,-30.0,-5295.0
175,25.0,-25.0,-4920.0
176,25.0,-20.0,-3689.0
177,25.0,-15.0,162.0
178,25.0,-10.0,418.0
179,25.0,-5.0,364.0
180,30.0,-100.0,292.0
181,30.0,-95.0,60.0
182,30.0,-90.0,79.0
183,30.0,-85.0,61.0
184,30.0,-80.0,-485.0
185,30.0,-75.0,-5347.0
186,30.0,-70.0,-5075.0
187,30.0,-65.0,-4676.0
188,30.0,-60.0,-5314.0
189,30.0,-55.0,-5429.0
190,30.0,-50.0,-5107.0
191,30.0,-45.0,-3179.0
192,30.0,-40.0,-3289.0
193,30.0,-35.0,-4014.0
194,30.0,-30.0,-2673.0
195,30.0,-25.0,-5253.0
196,30.0,-20.0,-3885.0
197,30.0,-15.0,-3764.0
198,30.0,-10.0,352.0
199,30.0,-5.0,1041.0
