,Latitude,Longitude,Mean_Elevation
0,-15.0,-100.0,-3849.282
1,-15.0,-95.0,-3874.1498
2,-15.0,-90.0,-4280.8737
3,-15.0,-85.0,-4694.9017
4,-15.0,-80.0,-934.686
5,-15.0,-75.0,2078.876
6,-15.0,-70.0,443.1362
7,-15.0,-65.0,226.5832
8,-15.0,-60.0,380.2581
9,-15.0,-55.0,321.5682
10,-15.0,-50.0,525.6207
11,-15.0,-45.0,618.9293
12,-15.0,-40.0,-1823.47
13,-15.0,-35.0,-4730.6851
14,-15.0,-30.0,-5408.3542
15,-15.0,-25.0,-5154.3404
16,-15.0,-20.0,-4083.385
17,-15.0,-15.0,-3306.6113
18,-15.0,-10.0,-4042.094
19,-15.0,-5.0,-4937.6521
20,-10.0,-100.0,-3892.6504
21,-10.0,-95.0,-4016.4216
22,-10.0,-90.0,-4136.7595
23,-10.0,-85.0,-3630.6202
24,-10.0,-80.0,1272.5898
25,-10.0,-75.0,217.4745
26,-10.0,-70.0,144.6995
27,-10.0,-65.0,93.7409
28,-10.0,-60.0,214.3983
29,-10.0,-55.0,295.1099
30,-10.0,-50.0,283.3805
31,-10.0,-45.0,374.5132
32,-10.0,-40.0,319.2801
33,-10.0,-35.0,-4262.8153
34,-10.0,-30.0,-5520.3206
35,-10.0,-25.0,-5223.2051
36,-10.0,-20.0,-4089.487
37,-10.0,-15.0,-3220.1313
38,-10.0,-10.0,-4169.1514
39,-10.0,-5.0,-4567.3715
40,-5.0,-100.0,-3487.2504
41,-5.0,-95.0,-3219.6282
42,-5.0,-90.0,-2848.8428
43,-5.0,-85.0,-2036.192
44,-5.0,-80.0,853.2027
45,-5.0,-75.0,143.4105
46,-5.0,-70.0,93.4339
47,-5.0,-65.0,54.4849
48,-5.0,-60.0,104.2132
49,-5.0,-55.0,129.5237
50,-5.0,-50.0,68.8424
51,-5.0,-45.0,-858.5662
52,-5.0,-40.0,-2567.3224
53,-5.0,-35.0,-4288.1426
54,-5.0,-30.0,-4767.6302
55,-5.0,-25.0,-4841.1795
56,-5.0,-20.0,-4252.9832
57,-5.0,-15.0,-3617.4178
58,-5.0,-10.0,-4439.8755
59,-5.0,-5.0,-4771.71
60,0.0,-100.0,-3276.1233
61,0.0,-95.0,-2709.9722
62,0.0,-90.0,-2424.0355
63,0.0,-85.0,-2894.0972
64,0.0,-80.0,107.3204
65,0.0,-75.0,410.3167
66,0.0,-70.0,207.0788
67,0.0,-65.0,346.8409
68,0.0,-60.0,247.2395
69,0.0,-55.0,135.1135
70,0.0,-50.0,-1448.8466
71,0.0,-45.0,-4054.3049
72,0.0,-40.0,-4264.0568
73,0.0,-35.0,-3537.3721
