,lon_rounded_up,lat_rounded_up,date,chlor_a
0,-95,-10,2012-02-10 00:10:00+00:00,0.13509732856889445
1,-95,-5,2012-02-10 00:10:00+00:00,0.13223700254089912
2,-95,0,2012-02-10 00:10:00+00:00,0.1527348122651781
3,-95,5,2012-02-10 00:10:00+00:00,0.14872745927354167
4,-95,10,2012-02-10 00:10:00+00:00,0.2410914589538731
5,-95,15,2012-02-10 00:10:00+00:00,0.24110300555968514
6,-95,20,2012-02-10 00:10:00+00:00,0.18139066298802695
7,-95,25,2012-02-10 00:10:00+00:00,
8,-95,30,2012-02-10 00:10:00+00:00,
9,-95,35,2012-02-10 00:10:00+00:00,
10,-90,-10,2012-02-10 00:10:00+00:00,0.14689026349159545
11,-90,-5,2012-02-10 00:10:00+00:00,0.14748996432025394
12,-90,0,2012-02-10 00:10:00+00:00,0.17883944984835884
13,-90,5,2012-02-10 00:10:00+00:00,0.14873709429342014
14,-90,10,2012-02-10 00:10:00+00:00,
15,-90,15,2012-02-10 00:10:00+00:00,
16,-90,20,2012-02-10 00:10:00+00:00,
17,-90,25,2012-02-10 00:10:00+00:00,5.935910880565643
18,-90,30,2012-02-10 00:10:00+00:00,
19,-90,35,2012-02-10 00:10:00+00:00,
20,-85,-10,2012-02-10 00:10:00+00:00,
21,-85,-5,2012-02-10 00:10:00+00:00,0.19678665496982062
22,-85,0,2012-02-10 00:10:00+00:00,0.2086859169331464
23,-85,5,2012-02-10 00:10:00+00:00,0.21122353765829457
24,-85,10,2012-02-10 00:10:00+00:00,0.29532829806604216
25,-85,15,2012-02-10 00:10:00+00:00,2.16566373430105
26,-85,20,2012-02-10 00:10:00+00:00,0.4548052352399513
27,-85,25,2012-02-10 00:10:00+00:00,0.16665813170025914
28,-85,30,2012-02-10 00:10:00+00:00,0.11688051045392499
29,-85,35,2012-02-10 00:10:00+00:00,
30,-80,-10,2012-02-10 00:10:00+00:00,0.2252056058915897
31,-80,-5,2012-02-10 00:10:00+00:00,0.7595709577504227
32,-80,0,2012-02-10 00:10:00+00:00,0.40769892471087094
33,-80,5,2012-02-10 00:10:00+00:00,0.18650621236617346
34,-80,10,2012-02-10 00:10:00+00:00,0.38902223854013196
35,-80,15,2012-02-10 00:10:00+00:00,0.3473389858267451
36,-80,20,2012-02-10 00:10:00+00:00,0.12729501764561832
37,-80,25,2012-02-10 00:10:00+00:00,0.6948963316692347
38,-80,30,2012-02-10 00:10:00+00:00,1.6023692305296615
39,-80,35,2012-02-10 00:10:00+00:00,
40,-75,-10,2012-02-10 00:10:00+00:00,0.40847908125983345
41,-75,-5,2012-02-10 00:10:00+00:00,
42,-75,0,2012-02-10 00:10:00+00:00,
43,-75,5,2012-02-10 00:10:00+00:00,1.3061122193055994
44,-75,10,2012-02-10 00:10:00+00:00,0.929330881481228
45,-75,15,2012-02-10 00:10:00+00:00,0.1912193776016055
46,-75,20,2012-02-10 00:10:00+00:00,0.0966046783034835
47,-75,25,2012-02-10 00:10:00+00:00,0.6469008778447853
48,-75,30,2012-02-10 00:10:00+00:00,0.15730585173051395
49,-75,35,2012-02-10 00:10:00+00:00,0.1271744484334816
50,-70,-10,2012-02-10 00:10:00+00:00,
51,-70,-5,2012-02-10 00:10:00+00:00,
52,-70,0,2012-02-10 00:10:00+00:00,
53,-70,5,2012-02-10 00:10:00+00:00,
54,-70,10,2012-02-10 00:10:00+00:00,23.553501729841358
55,-70,15,2012-02-10 00:10:00+00:00,1.5691255067674894
56,-70,20,2012-02-10 00:10:00+00:00,0.0898542923839401
57,-70,25,2012-02-10 00:10:00+00:00,0.05387178114025106
58,-70,30,2012-02-10 00:10:00+00:00,0.04921782782009567
59,-70,35,2012-02-10 00:10:00+00:00,0.1585180296429566
60,-65,-10,2012-02-10 00:10:00+00:00,
61,-65,-5,2012-02-10 00:10:00+00:00,
62,-65,0,2012-02-10 00:10:00+00:00,
63,-65,5,2012-02-10 00:10:00+00:00,
64,-65,10,2012-02-10 00:10:00+00:00,
65,-65,15,2012-02-10 00:10:00+00:00,0.15073204978748603
66,-65,20,2012-02-10 00:10:00+00:00,0.0833268828242074
67,-65,25,2012-02-10 00:10:00+00:00,0.04521944209001958
