,lon_rounded_up,lat_rounded_up,date,chlor_a
0,-95,-10,2019-03-01 00:10:01+00:00,0.1453338536655619
1,-95,-5,2019-03-01 00:10:01+00:00,0.22451983534536188
2,-95,0,2019-03-01 00:10:01+00:00,0.1905568643164493
3,-95,5,2019-03-01 00:10:01+00:00,0.187888809333127
4,-95,10,2019-03-01 00:10:01+00:00,0.13109007422559146
5,-95,15,2019-03-01 00:10:01+00:00,0.14931099591803415
6,-95,20,2019-03-01 00:10:01+00:00,0.39556689316298776
7,-95,25,2019-03-01 00:10:01+00:00,
8,-95,30,2019-03-01 00:10:01+00:00,
9,-95,35,2019-03-01 00:10:01+00:00,
10,-90,-10,2019-03-01 00:10:01+00:00,0.14782754003181195
11,-90,-5,2019-03-01 00:10:01+00:00,0.1871005936779759
12,-90,0,2019-03-01 00:10:01+00:00,0.20009345991877459
13,-90,5,2019-03-01 00:10:01+00:00,0.24210418500613584
14,-90,10,2019-03-01 00:10:01+00:00,0.12610985338687897
15,-90,15,2019-03-01 00:10:01+00:00,
16,-90,20,2019-03-01 00:10:01+00:00,1.1778229877707505
17,-90,25,2019-03-01 00:10:01+00:00,0.2559561825154651
18,-90,30,2019-03-01 00:10:01+00:00,0.16772513628136693
19,-90,35,2019-03-01 00:10:01+00:00,
20,-85,-10,2019-03-01 00:10:01+00:00,0.1431616802107204
21,-85,-5,2019-03-01 00:10:01+00:00,
22,-85,0,2019-03-01 00:10:01+00:00,0.23913524031853503
23,-85,5,2019-03-01 00:10:01+00:00,0.24964717635751454
24,-85,10,2019-03-01 00:10:01+00:00,0.145734165305452
25,-85,15,2019-03-01 00:10:01+00:00,0.9189985035279873
26,-85,20,2019-03-01 00:10:01+00:00,0.23036888996252639
27,-85,25,2019-03-01 00:10:01+00:00,0.153178954098209
28,-85,30,2019-03-01 00:10:01+00:00,0.28027950591145606
29,-85,35,2019-03-01 00:10:01+00:00,5.900133580733568
30,-80,-10,2019-03-01 00:10:01+00:00,0.16008984718960945
31,-80,-5,2019-03-01 00:10:01+00:00,0.5612248885867879
32,-80,0,2019-03-01 00:10:01+00:00,0.3108504364166781
33,-80,5,2019-03-01 00:10:01+00:00,0.3351168971018815
34,-80,10,2019-03-01 00:10:01+00:00,0.1609234597820502
35,-80,15,2019-03-01 00:10:01+00:00,0.6604226990179582
36,-80,20,2019-03-01 00:10:01+00:00,0.10212730381156311
37,-80,25,2019-03-01 00:10:01+00:00,0.7034564884941814
38,-80,30,2019-03-01 00:10:01+00:00,1.41678844480907
39,-80,35,2019-03-01 00:10:01+00:00,2.5311136643091836
40,-75,-10,2019-03-01 00:10:01+00:00,
41,-75,-5,2019-03-01 00:10:01+00:00,
42,-75,0,2019-03-01 00:10:01+00:00,
43,-75,5,2019-03-01 00:10:01+00:00,0.7371596779142108
44,-75,10,2019-03-01 00:10:01+00:00,1.9607884342020208
45,-75,15,2019-03-01 00:10:01+00:00,0.14434000248870543
46,-75,20,2019-03-01 00:10:01+00:00,0.1040631818991631
47,-75,25,2019-03-01 00:10:01+00:00,0.662099357880245
48,-75,30,2019-03-01 00:10:01+00:00,0.2760044957860874
49,-75,35,2019-03-01 00:10:01+00:00,0.11622066458221525
50,-70,-10,2019-03-01 00:10:01+00:00,
51,-70,-5,2019-03-01 00:10:01+00:00,
52,-70,0,2019-03-01 00:10:01+00:00,
53,-70,5,2019-03-01 00:10:01+00:00,
54,-70,10,2019-03-01 00:10:01+00:00,
55,-70,15,2019-03-01 00:10:01+00:00,0.15938117998567494
56,-70,20,2019-03-01 00:10:01+00:00,0.10667102678725178
57,-70,25,2019-03-01 00:10:01+00:00,0.06017138671987655
58,-70,30,2019-03-01 00:10:01+00:00,0.07373843432819445
59,-70,35,2019-03-01 00:10:01+00:00,0.15369808961896553
60,-65,-10,2019-03-01 00:10:01+00:00,
61,-65,-5,2019-03-01 00:10:01+00:00,
62,-65,0,2019-03-01 00:10:01+00:00,
63,-65,5,2019-03-01 00:10:01+00:00,
64,-65,10,2019-03-01 00:10:01+00:00,
65,-65,15,2019-03-01 00:10:01+00:00,0.21127610703309377
66,-65,20,2019-03-01 00:10:01+00:00,0.07056263331703994
67,-65,25,2019-03-01 00:10:01+00:00,0.03093720324144498
68,-65,30,2019-03-01 00:10:01+00:00,0.04088427171430899
69,-65,35,2019-03-01 00:10:01+00:00,0.13321046423562224
70,-60,-10,2019-03-01 00:10:01+00:00,
71,-60,-5,2019-03-01 00:10:01+00:00,
72,-60,0,2019-03-01 00:10:01+00:00,
73,-60,5,2019-03-01 00:10:01+00:00,
74,-60,10,2019-03-01 00:10:01+00:00,0.20789748264683616
75,-60,15,2019-03-01 00:10:01+00:00,0.601559845262226
76,-60,20,2019-03-01 00:10:01+00:00,0.08940037797786636
77,-60,25,2019-03-01 00:10:01+00:00,0.037754735872896565
78,-60,30,2019-03-01 00:10:01+00:00,0.04502861968646864
79,-60,35,2019-03-01 00:10:01+00:00,0.15427522025122054
80,-55,-10,2019-03-01 00:10:01+00:00,
81,-55,-5,2019-03-01 00:10:01+00:00,
82,-55,0,2019-03-01 00:10:01+00:00,
83,-55,5,2019-03-01 00:10:01+00:00,
84,-55,10,2019-03-01 00:10:01+00:00,
85,-55,15,2019-03-01 00:10:01+00:00,0.09575621123340997
86,-55,20,2019-03-01 00:10:01+00:00,0.0455213740320403
87,-55,25,2019-03-01 00:10:01+00:00,0.03579418146040655
88,-55,30,2019-03-01 00:10:01+00:00,0.04822138735787692
89,-55,35,2019-03-01 00:10:01+00:00,0.09927654132886898
90,-50,-10,2019-03-01 00:10:01+00:00,
91,-50,-5,2019-03-01 00:10:01+00:00,
92,-50,0,2019-03-01 00:10:01+00:00,9.735682805379232
93,-50,5,2019-03-01 00:10:01+00:00,2.552673477431138
94,-50,10,2019-03-01 00:10:01+00:00,0.2140919001003897
95,-50,15,2019-03-01 00:10:01+00:00,0.09128747506515358
96,-50,20,2019-03-01 00:10:01+00:00,0.04218366443360264
97,-50,25,2019-03-01 00:10:01+00:00,0.03586598070242497
98,-50,30,2019-03-01 00:10:01+00:00,0.056024361106674074
99,-50,35,2019-03-01 00:10:01+00:00,0.1746317060437919
100,-45,-10,2019-03-01 00:10:01+00:00,10.238838263920375
101,-45,-5,2019-03-01 00:10:01+00:00,
102,-45,0,2019-03-01 00:10:01+00:00,16.003631273905437
103,-45,5,2019-03-01 00:10:01+00:00,0.10867309818665187
104,-45,10,2019-03-01 00:10:01+00:00,0.12136334251007719
105,-45,15,2019-03-01 00:10:01+00:00,0.09414417669177055
106,-45,20,2019-03-01 00:10:01+00:00,0.05066769660111597
107,-45,25,2019-03-01 00:10:01+00:00,0.043976321933806184
108,-45,30,2019-03-01 00:10:01+00:00,0.06385287286580674
109,-45,35,2019-03-01 00:10:01+00:00,0.1970884804842902
110,-40,-10,2019-03-01 00:10:01+00:00,
111,-40,-5,2019-03-01 00:10:01+00:00,
112,-40,0,2019-03-01 00:10:01+00:00,1.9545454482237499
113,-40,5,2019-03-01 00:10:01+00:00,
