,year,month,lon_rounded_up,lat_rounded_up,chlor_a
0,2004,4,-95,-10,0.13785772495508877
1,2004,4,-95,-5,0.1741642647832802
2,2004,4,-95,0,0.23193593682541672
3,2004,4,-95,5,0.21111253603174557
4,2004,4,-95,10,0.14903464960406335
5,2004,4,-95,15,0.37615165055899086
6,2004,4,-95,20,0.6394633717766288
7,2004,4,-95,25,0.2737414614857703
8,2004,4,-95,30,1.877809565246473
9,2004,4,-95,35,32.7903478940328
10,2004,4,-90,-10,0.1391704667402488
11,2004,4,-90,-5,0.19703224416330095
12,2004,4,-90,0,0.39528106154627113
13,2004,4,-90,5,0.31356764079347416
14,2004,4,-90,10,0.3218065815584147
15,2004,4,-90,15,0.57861038027499
16,2004,4,-90,20,1.2884970678325134
17,2004,4,-90,25,0.24291976785011885
18,2004,4,-90,30,1.1564205939907297
19,2004,4,-90,35,12.399483310093677
20,2004,4,-85,-10,0.1777998659622124
21,2004,4,-85,-5,0.29298227257723986
22,2004,4,-85,0,0.2610509983611152
23,2004,4,-85,5,0.2639293885688348
24,2004,4,-85,10,0.46532275067158324
25,2004,4,-85,15,5.620131687613749
26,2004,4,-85,20,1.8060514370738818
27,2004,4,-85,25,0.22692117060421974
28,2004,4,-85,30,0.5548560668833161
29,2004,4,-85,35,4.8601777966722
30,2004,4,-80,-10,0.3399863761919419
31,2004,4,-80,-5,1.3376767496918267
32,2004,4,-80,0,0.6796276812655613
33,2004,4,-80,5,0.33263989313465664
34,2004,4,-80,10,0.4306063580381098
35,2004,4,-80,15,3.453893718703457
36,2004,4,-80,20,0.11872269905923069
37,2004,4,-80,25,0.3126017576817382
38,2004,4,-80,30,1.2881964021837247
39,2004,4,-80,35,6.251648658317504
40,2004,4,-75,-10,6.295072545466114
41,2004,4,-75,-5,4.035581036163711
42,2004,4,-75,0,6.83381107036884
43,2004,4,-75,5,0.8935409247733895
44,2004,4,-75,10,0.8442815369230645
45,2004,4,-75,15,0.07111551276955409
46,2004,4,-75,20,0.06816006050061679
47,2004,4,-75,25,0.36208130508959496
48,2004,4,-75,30,0.11749202189256466
49,2004,4,-75,35,0.4431394851857467
50,2004,4,-70,-10,4.872957706451416
51,2004,4,-70,-5,
52,2004,4,-70,0,
53,2004,4,-70,5,
54,2004,4,-70,10,16.856693262148337
55,2004,4,-70,15,0.4075850214371426
56,2004,4,-70,20,0.09685490639762268
57,2004,4,-70,25,0.043743956440389274
58,2004,4,-70,30,0.05906208439924736
59,2004,4,-70,35,0.1452725737856138
60,2004,4,-65,-10,7.489745135660525
61,2004,4,-65,-5,
62,2004,4,-65,0,
63,2004,4,-65,5,
64,2004,4,-65,10,
65,2004,4,-65,15,0.2182543307807008
66,2004,4,-65,20,0.08463634810537793
67,2004,4,-65,25,0.0347786644930811
68,2004,4,-65,30,0.04338254643375762
69,2004,4,-65,35,0.1324881739595642
70,2004,4,-60,-10,
71,2004,4,-60,-5,13.04269027709961
72,2004,4,-60,0,23.80363565683365
73,2004,4,-60,5,
74,2004,4,-60,10,5.2573521837915145
75,2004,4,-60,15,0.46859244276488715
76,2004,4,-60,20,0.09215875381537784
77,2004,4,-60,25,0.028865363001035482
78,2004,4,-60,30,0.035476173489229726
79,2004,4,-60,35,0.1607788488633301
