lat,lon,month,dissolved_oxygen
-15.0,-100.0,1,168.9807931034483
-15.0,-95.0,1,140.02617241379315
-15.0,-90.0,1,143.53503448275862
-15.0,-85.0,1,140.4113448275862
-15.0,-80.0,1,79.66275862068964
-15.0,-30.0,1,198.4564482758621
-15.0,-25.0,1,194.22386206896553
-15.0,-15.0,1,194.7661379310345
-15.0,-10.0,1,182.3556551724138
-15.0,-5.0,1,157.41496551724143
-10.0,-100.0,1,118.56031034482758
-10.0,-95.0,1,114.72931034482761
-10.0,-90.0,1,90.35396551724136
-10.0,-85.0,1,82.65879310344828
-10.0,-80.0,1,70.25772413793104
-10.0,-35.0,1,187.98786206896548
-10.0,-30.0,1,180.1245172413793
-10.0,-25.0,1,176.44072413793106
-10.0,-15.0,1,176.4104137931035
-10.0,-10.0,1,161.5669310344828
-10.0,-5.0,1,142.77475862068965
-5.0,-100.0,1,111.0723448275862
-5.0,-95.0,1,104.96668965517243
-5.0,-90.0,1,115.07841379310345
-5.0,-85.0,1,92.9116551724138
-5.0,-40.0,1,196.5212758620689
-5.0,-35.0,1,178.69210344827587
-5.0,-30.0,1,174.8661034482758
-5.0,-25.0,1,168.91948275862072
-5.0,-20.0,1,172.42931034482757
-5.0,-15.0,1,162.2176551724138
-5.0,-10.0,1,152.13444827586207
-5.0,-5.0,1,152.45155172413791
0.0,-100.0,1,120.53710344827584
0.0,-95.0,1,118.31734482758621
0.0,-90.0,1,118.88789655172414
0.0,-85.0,1,98.93289655172414
0.0,-50.0,1,190.50555172413797
0.0,-45.0,1,186.19448275862067
0.0,-40.0,1,182.35503448275864
0.0,-35.0,1,169.8408275862069
0.0,-30.0,1,173.9774827586207
0.0,-25.0,1,162.39637931034483
0.0,-15.0,1,151.0119655172414
0.0,-10.0,1,143.85410344827588
0.0,-5.0,1,149.2721724137931
5.0,-100.0,1,86.96193103448277
5.0,-95.0,1,81.43810344827585
5.0,-90.0,1,89.17120689655172
5.0,-85.0,1,86.34162068965516
5.0,-80.0,1,105.1121724137931
5.0,-60.0,1,169.72958620689653
5.0,-55.0,1,175.744
5.0,-50.0,1,170.8612068965517
5.0,-45.0,1,182.02286206896557
5.0,-40.0,1,169.88248275862065
5.0,-35.0,1,163.46117241379307
5.0,-30.0,1,172.37068965517238
5.0,-25.0,1,140.36062068965518
5.0,-20.0,1,112.45351724137933
5.0,-15.0,1,105.14653571428573
10.0,-100.0,1,93.95758620689655
10.0,-95.0,1,79.52993103448276
10.0,-90.0,1,69.22734482758622
10.0,-80.0,1,172.80182758620688
10.0,-75.0,1,170.4838214285714
10.0,-70.0,1,137.33906896551724
10.0,-65.0,1,151.86244827586205
10.0,-60.0,1,181.9215172413793
10.0,-55.0,1,178.79624137931032
10.0,-50.0,1,182.9653103448276
10.0,-45.0,1,172.33413793103446
10.0,-40.0,1,169.01417241379306
10.0,-35.0,1,154.32860714285715
10.0,-30.0,1,138.83017241379312
10.0,-25.0,1,131.92524137931034
10.0,-20.0,1,100.43010344827586
15.0,-100.0,1,122.76465517241378
15.0,-95.0,1,168.4544482758621
15.0,-70.0,1,198.56986206896556
15.0,-65.0,1,202.9388275862069
15.0,-55.0,1,194.0043103448276
15.0,-50.0,1,194.58
15.0,-45.0,1,202.67744827586202
15.0,-40.0,1,192.39289655172414
15.0,-35.0,1,180.3704137931035
15.0,-30.0,1,166.52382758620692
15.0,-25.0,1,153.90758620689655
15.0,-20.0,1,118.69055172413795
20.0,-95.0,1,176.51124137931032
20.0,-90.0,1,183.79834482758625
20.0,-85.0,1,212.735
20.0,-80.0,1,199.3942413793103
20.0,-75.0,1,201.38082758620692
20.0,-70.0,1,203.9167931034483
20.0,-65.0,1,202.996
20.0,-60.0,1,201.4218620689655
20.0,-55.0,1,203.18300000000002
20.0,-50.0,1,204.4738275862069
20.0,-45.0,1,205.93641379310347
20.0,-40.0,1,206.6213103448276
20.0,-35.0,1,212.19944827586204
20.0,-30.0,1,209.16110344827592
20.0,-25.0,1,201.09437931034483
20.0,-20.0,1,164.81717241379312
25.0,-95.0,1,188.90910344827583
25.0,-90.0,1,199.7646086956522
25.0,-85.0,1,193.40096000000003
25.0,-80.0,1,199.58920689655176
25.0,-75.0,1,206.06158620689652
25.0,-70.0,1,207.87210344827588
25.0,-65.0,1,207.98855172413795
25.0,-60.0,1,214.2753103448276
25.0,-55.0,1,209.3360344827586
25.0,-50.0,1,210.33584615384618
25.0,-45.0,1,215.33131034482759
25.0,-40.0,1,212.20320689655173
25.0,-35.0,1,220.12741379310344
25.0,-30.0,1,220.99896551724134
25.0,-25.0,1,218.5399655172414
