lat,lon,date,sst
34.5,-99.5,2004-08-01,
34.5,-99.5,2004-09-01,
34.5,-99.5,2004-10-01,
34.5,-99.5,2004-11-01,
34.5,-99.5,2004-12-01,
34.5,-99.5,2005-01-01,
34.5,-99.5,2005-02-01,
34.5,-99.5,2005-03-01,
34.5,-99.5,2005-04-01,26.670002
34.5,-99.5,2005-05-01,26.893002
34.5,-99.5,2005-06-01,26.258001
34.5,-99.5,2005-07-01,
34.5,-99.5,2005-08-01,26.828001
34.5,-99.5,2005-09-01,27.125002
34.5,-99.5,2005-10-01,27.140001
34.5,-99.5,2005-11-01,26.260002
34.5,-99.5,2005-12-01,25.553001
34.5,-99.5,2006-01-01,25.080002
34.5,-99.5,2006-02-01,25.045002
34.5,-99.5,2006-03-01,25.243002
34.5,-99.5,2006-04-01,
34.5,-99.5,2006-05-01,
34.5,-99.5,2006-06-01,
34.5,-99.5,2006-07-01,
34.5,-99.5,2006-08-01,
34.5,-99.5,2006-09-01,
34.5,-99.5,2006-10-01,
34.5,-99.5,2006-11-01,
34.5,-99.5,2006-12-01,
34.5,-99.5,2007-01-01,28.845001
34.5,-99.5,2007-02-01,28.820002
34.5,-99.5,2007-03-01,28.605001
34.5,-99.5,2007-04-01,28.315
34.5,-99.5,2007-05-01,28.078001
34.5,-99.5,2007-06-01,27.925001
34.5,-99.5,2007-07-01,27.698002
34.5,-99.5,2007-08-01,27.645
34.5,-99.5,2007-09-01,27.195002
34.5,-99.5,2007-10-01,27.028002
34.5,-99.5,2007-11-01,27.345001
34.5,-99.5,2007-12-01,
34.5,-99.5,2008-01-01,
34.5,-99.5,2008-02-01,
34.5,-99.5,2008-03-01,
34.5,-99.5,2008-04-01,
34.5,-99.5,2008-05-01,
34.5,-99.5,2008-06-01,
34.5,-99.5,2008-07-01,
34.5,-99.5,2008-08-01,28.260002
34.5,-99.5,2008-09-01,29.023
34.5,-99.5,2008-10-01,29.063002
34.5,-99.5,2008-11-01,29.118002
34.5,-99.5,2008-12-01,28.903002
34.5,-99.5,2009-01-01,28.763
34.5,-99.5,2009-02-01,28.855001
34.5,-99.5,2009-03-01,28.77
34.5,-99.5,2009-04-01,28.618002
34.5,-99.5,2009-05-01,28.45
34.5,-99.5,2009-06-01,28.473001
34.5,-99.5,2009-07-01,28.343
34.5,-99.5,2009-08-01,
34.5,-99.5,2009-09-01,28.698002
34.5,-99.5,2009-10-01,28.285002
34.5,-99.5,2009-11-01,
34.5,-99.5,2009-12-01,
34.5,-99.5,2010-01-01,
34.5,-99.5,2010-02-01,
34.5,-99.5,2010-03-01,29.265001
34.5,-99.5,2010-04-01,29.093002
34.5,-99.5,2010-05-01,29.158
34.5,-99.5,2010-06-01,29.168001
34.5,-99.5,2010-07-01,29.238
34.5,-99.5,2010-08-01,29.375002
34.5,-99.5,2010-09-01,29.355001
34.5,-99.5,2010-10-01,29.285002
34.5,-99.5,2010-11-01,29.185001
34.5,-99.5,2010-12-01,29.070002
34.5,-99.5,2011-01-01,28.928001
34.5,-99.5,2011-02-01,28.900002
34.5,-99.5,2011-03-01,28.760002
34.5,-99.5,2011-04-01,28.225002
34.5,-99.5,2011-05-01,28.083002
34.5,-99.5,2011-06-01,27.988
