,date,lon_rounded_up,lat_rounded_up,depth,o2
0,2023-04-25,-95,-10,0.49402538,208.33367477036387
1,2023-04-25,-95,-10,1.5413754,208.3609745778194
2,2023-04-25,-95,-10,2.6456685,208.39218236529638
3,2023-04-25,-95,-10,3.8194947,208.4200758815082
4,2023-04-25,-95,-10,5.0782237,208.44630259126762
5,2023-04-25,-95,-10,6.440614,208.47206994573546
6,2023-04-25,-95,-10,7.92956,208.49812285754146
7,2023-04-25,-95,-10,9.572997,208.52498227074034
8,2023-04-25,-95,-10,11.405003,208.55317400804722
9,2023-04-25,-95,-10,13.467138,208.58289325048054
10,2023-04-25,-95,-10,15.810073,208.615512493246
11,2023-04-25,-95,-10,18.49556,208.65280985237519
12,2023-04-25,-95,-10,21.598816,208.70221767295786
13,2023-04-25,-95,-10,25.211409,208.79707609769167
14,2023-04-25,-95,-10,29.444729,209.1892464566393
15,2023-04-25,-95,-10,34.434155,211.75451089249177
16,2023-04-25,-95,-10,40.34405,219.67412105222948
17,2023-04-25,-95,-10,47.373688,226.43769964447367
18,2023-04-25,-95,-5,0.49402538,205.74164868309384
19,2023-04-25,-95,-5,1.5413754,205.7785243079776
20,2023-04-25,-95,-5,2.6456685,205.8175537835984
21,2023-04-25,-95,-5,3.8194947,205.85183606828963
22,2023-04-25,-95,-5,5.0782237,205.88412639072962
23,2023-04-25,-95,-5,6.440614,205.91588886805943
24,2023-04-25,-95,-5,7.92956,205.9479708716983
25,2023-04-25,-95,-5,9.572997,205.98091321672712
26,2023-04-25,-95,-5,11.405003,206.01530718122208
27,2023-04-25,-95,-5,13.467138,206.05040337698802
28,2023-04-25,-95,-5,15.810073,206.08750871930803
29,2023-04-25,-95,-5,18.49556,206.1360439845494
30,2023-04-25,-95,-5,21.598816,206.29622395833334
31,2023-04-25,-95,-5,25.211409,207.28737738473075
32,2023-04-25,-95,-5,29.444729,209.69265009562176
33,2023-04-25,-95,-5,34.434155,212.32483179001582
34,2023-04-25,-95,-5,40.34405,212.6058493114653
35,2023-04-25,-95,-5,47.373688,206.31932503836495
36,2023-04-25,-95,0,0.49402538,200.67705408732095
37,2023-04-25,-95,0,1.5413754,200.65058909824916
38,2023-04-25,-95,0,2.6456685,200.62548482985724
39,2023-04-25,-95,0,3.8194947,200.5940215337844
40,2023-04-25,-95,0,5.0782237,200.5480529785156
41,2023-04-25,-95,0,6.440614,200.4798936753046
42,2023-04-25,-95,0,7.92956,200.37879976545062
43,2023-04-25,-95,0,9.572997,200.22727018083845
44,2023-04-25,-95,0,11.405003,199.99835808163598
45,2023-04-25,-95,0,13.467138,199.64747957502092
46,2023-04-25,-95,0,15.810073,199.11046752929687
47,2023-04-25,-95,0,18.49556,198.27776064191545
48,2023-04-25,-95,0,21.598816,196.8270002092634
49,2023-04-25,-95,0,25.211409,194.60185659499396
50,2023-04-25,-95,0,29.444729,191.48645717075894
51,2023-04-25,-95,0,34.434155,186.91058898199174
52,2023-04-25,-95,0,40.34405,179.84584630330403
53,2023-04-25,-95,0,47.373688,169.00091923304967
54,2023-04-25,-95,5,0.49402538,203.13578058878582
