lat,lon,month,silicate
-15.0,-90.0,1,12.384777777777776
-15.0,-85.0,1,14.505857142857144
-15.0,-80.0,1,15.411272727272728
-15.0,-15.0,1,3.0007586206896555
-15.0,-10.0,1,3.447379310344828
-15.0,-5.0,1,4.932655172413793
-10.0,-90.0,1,14.749344827586206
-10.0,-85.0,1,15.453206896551725
-10.0,-80.0,1,5.983
-10.0,-35.0,1,2.835592592592593
-10.0,-10.0,1,4.58125925925926
-5.0,-100.0,1,13.62851851851852
-5.0,-90.0,1,6.644
-5.0,-85.0,1,6.081272727272728
-5.0,-40.0,1,3.0910344827586202
-5.0,-35.0,1,3.7053333333333334
-5.0,-30.0,1,2.462782608695652
-5.0,-25.0,1,3.9352
-5.0,-20.0,1,4.6450000000000005
-5.0,-15.0,1,5.341413793103448
-5.0,-10.0,1,5.583034482758621
-5.0,-5.0,1,5.3576000000000015
0.0,-100.0,1,14.905896551724137
0.0,-45.0,1,3.5994
0.0,-10.0,1,4.985964285714286
5.0,-100.0,1,17.944620689655174
5.0,-90.0,1,21.531178571428573
5.0,-80.0,1,20.684275862068965
5.0,-60.0,1,1.0246818181818182
5.0,-55.0,1,3.526344827586207
5.0,-50.0,1,4.59825
5.0,-45.0,1,5.282772727272727
5.0,-20.0,1,6.047777777777777
10.0,-100.0,1,17.388034482758624
10.0,-65.0,1,1.76612
10.0,-60.0,1,2.070655172413793
10.0,-55.0,1,2.698344827586207
10.0,-50.0,1,2.7755
10.0,-45.0,1,3.426206896551724
10.0,-40.0,1,4.7860000000000005
15.0,-100.0,1,16.71289655172414
15.0,-65.0,1,1.6136842105263158
15.0,-55.0,1,1.3529310344827585
15.0,-40.0,1,2.2813333333333334
15.0,-20.0,1,7.296
20.0,-95.0,1,1.6927777777777777
20.0,-80.0,1,0.976
20.0,-75.0,1,1.19128
20.0,-65.0,1,1.7262777777777776
20.0,-60.0,1,1.3226250000000004
20.0,-40.0,1,1.8564545454545454
20.0,-35.0,1,0.8443703703703703
20.0,-30.0,1,1.109896551724138
20.0,-25.0,1,1.632965517241379
20.0,-20.0,1,4.735172413793103
25.0,-95.0,1,3.43325
25.0,-90.0,1,4.126444444444445
25.0,-85.0,1,2.2677272727272726
25.0,-80.0,1,1.0835599999999999
25.0,-75.0,1,1.0206
25.0,-35.0,1,2.1146666666666665
25.0,-30.0,1,2.110888888888889
25.0,-25.0,1,0.759241379310345
25.0,-20.0,1,1.3623448275862067
25.0,-15.0,1,1.439551724137931
30.0,-80.0,1,2.212428571428571
30.0,-65.0,1,0.9413103448275861
30.0,-30.0,1,4.263346153846154
30.0,-20.0,1,1.0663333333333334
30.0,-15.0,1,1.2204444444444444
30.0,-10.0,1,1.2606296296296295
-15.0,-100.0,2,6.7506896551724145
-15.0,-95.0,2,7.796310344827587
-15.0,-90.0,2,9.863413793103447
-15.0,-85.0,2,13.130413793103447
-15.0,-80.0,2,17.588689655172413
-15.0,-40.0,2,2.269551724137931
-15.0,-35.0,2,2.263
-15.0,-30.0,2,3.0893793103448277
-15.0,-25.0,2,2.1256206896551726
-10.0,-100.0,2,11.352689655172412
-10.0,-90.0,2,13.910551724137932
-10.0,-85.0,2,18.103103448275863
-10.0,-80.0,2,20.102999999999998
-10.0,-35.0,2,2.8245000000000005
-10.0,-30.0,2,3.7425172413793097
-10.0,-5.0,2,5.987275862068967
-5.0,-100.0,2,15.568620689655175
-5.0,-90.0,2,15.612758620689657
-5.0,-85.0,2,15.789586206896551
-5.0,-40.0,2,3.0346875
-5.0,-35.0,2,3.324407407407408
-5.0,-30.0,2,4.692586206896552
-5.0,-10.0,2,4.314931034482759
-5.0,-5.0,2,5.618068965517241
0.0,-95.0,2,15.023071428571429
0.0,-90.0,2,12.428931034482757
0.0,-85.0,2,13.122620689655172
0.0,-80.0,2,12.037241379310347
0.0,-50.0,2,3.063379310344828
0.0,-45.0,2,3.083413793103448
0.0,-40.0,2,4.091480000000001
0.0,-35.0,2,3.80632
0.0,-30.0,2,4.466551724137931
0.0,-25.0,2,3.3920000000000003
5.0,-100.0,2,16.520142857142858
5.0,-95.0,2,13.64573076923077
5.0,-90.0,2,12.263703703703706
5.0,-85.0,2,12.957758620689653
5.0,-80.0,2,22.362482758620686
5.0,-60.0,2,2.969793103448276
5.0,-55.0,2,3.5762758620689654
5.0,-50.0,2,4.931689655172414
5.0,-45.0,2,4.7121724137931045
5.0,-40.0,2,3.6412692307692303
5.0,-35.0,2,4.5711200000000005
5.0,-30.0,2,5.368103448275861
5.0,-25.0,2,5.978280000000001
5.0,-20.0,2,6.189344827586206
10.0,-100.0,2,10.0528
10.0,-75.0,2,2.1742068965517243
10.0,-70.0,2,2.947206896551724
10.0,-65.0,2,3.2504827586206897
10.0,-60.0,2,2.8049655172413797
10.0,-55.0,2,1.1669999999999998
10.0,-50.0,2,4.285206896551725
10.0,-45.0,2,4.82596551724138
10.0,-30.0,2,3.2419655172413795
10.0,-25.0,2,5.865517241379311
10.0,-20.0,2,7.408241379310345
15.0,-100.0,2,17.928172413793103
15.0,-80.0,2,1.5992068965517239
15.0,-75.0,2,1.6850344827586208
15.0,-70.0,2,2.0533793103448272
15.0,-65.0,2,2.6990689655172417
15.0,-60.0,2,1.5991785714285718
15.0,-55.0,2,1.0615833333333333
15.0,-30.0,2,3.201777777777778
15.0,-25.0,2,3.7587272727272723
15.0,-20.0,2,7.499620689655172
20.0,-90.0,2,1.4723
20.0,-85.0,2,1.3620454545454548
20.0,-75.0,2,1.5386206896551724
20.0,-70.0,2,0.9844482758620688
20.0,-65.0,2,0.8166206896551725
20.0,-60.0,2,0.731896551724138
20.0,-55.0,2,0.8153448275862067
20.0,-50.0,2,0.9691724137931034
20.0,-45.0,2,0.5624827586206897
20.0,-40.0,2,0.8464827586206896
20.0,-35.0,2,0.9605862068965517
20.0,-30.0,2,2.1033600000000003
20.0,-25.0,2,2.0118333333333336
20.0,-20.0,2,4.9417857142857144
25.0,-95.0,2,5.525931034482759
25.0,-85.0,2,3.5420800000000003
25.0,-80.0,2,0.945
25.0,-75.0,2,0.6696896551724139
25.0,-70.0,2,0.6726206896551724
25.0,-25.0,2,1.9834814814814816
25.0,-20.0,2,0.4487037037037037
25.0,-15.0,2,0.9875925925925926
30.0,-80.0,2,2.538758620689655
30.0,-75.0,2,1.3996071428571428
30.0,-65.0,2,0.83075
30.0,-50.0,2,2.7728095238095243
30.0,-40.0,2,1.4156666666666666
30.0,-35.0,2,1.1717199999999999
30.0,-30.0,2,5.664518518518519
30.0,-20.0,2,1.9630357142857142
30.0,-15.0,2,1.3707931034482757
30.0,-10.0,2,1.0524137931034483
-15.0,-95.0,3,5.077724137931035
-15.0,-90.0,3,9.299655172413793
-15.0,-85.0,3,12.338275862068967
-15.0,-80.0,3,16.485310344827585
-15.0,-40.0,3,2.8457058823529415
-15.0,-35.0,3,4.76209090909091
-15.0,-30.0,3,2.9502068965517245
-15.0,-25.0,3,3.266689655172414
-15.0,-20.0,3,7.369375
-15.0,-15.0,3,6.074818181818182
-15.0,-10.0,3,7.732900000000001
-15.0,-5.0,3,6.166310344827586
-10.0,-100.0,3,12.914689655172412
-10.0,-90.0,3,15.042965517241381
-10.0,-85.0,3,15.346068965517244
-10.0,-80.0,3,15.667896551724139
-10.0,-35.0,3,3.3811724137931045
-10.0,-30.0,3,3.057793103448276
-10.0,-25.0,3,3.602413793103448
